Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCAFS,Dragon Spacecraft Qualification Unit,,LEO,SpaceX,"Success
",F9 v1.1,Failure,4 June 2010,18:45
2,CCAFS,Dragon,,LEO,NASA,Success,F9 v1.1,Failure,8 December 2010,18:45
3,CCAFS,Dragon,,LEO,NASA,Success,F9 v1.1,"No attempt
",22 May 2012,15:43
4,CCAFS,SpaceX CRS-1,,LEO,NASA,"Success
",F9 v1.1,No attempt,8 October 2012,15:43
5,CCAFS,SpaceX CRS-2,,LEO,NASA,"Success
",F9 v1.1,"No attempt
",1 March 2013,07:44
6,VAFB,CASSIOPE,,Polar orbit,MDA,Success,F9 v1.1,Uncontrolled,29 September 2013,07:44
7,CCAFS,SES-8,,GTO,SES,Success,F9 v1.1,No attempt,3 December 2013,00:35
8,CCAFS,Thaicom 6,,GTO,Thaicom,Success,F9 v1.1,No attempt,6 January 2014,00:35
9,Cape Canaveral,SpaceX CRS-3,,LEO,NASA,"Success
",F9 v1.1,Controlled,18 April 2014,15:10
10,Cape Canaveral,Orbcomm-OG2,,LEO,Orbcomm,Success,F9 v1.1,Controlled,14 July 2014,15:10
11,Cape Canaveral,AsiaSat 8,,GTO,AsiaSat,Success,F9 v1.1,No attempt,5 August 2014,16:00
12,Cape Canaveral,AsiaSat 6,,GTO,AsiaSat,Success,F9 v1.1,"No attempt
",7 September 2014,16:00
13,Cape Canaveral,SpaceX CRS-4,,LEO,NASA,Success,F9 v1.1,Uncontrolled,21 September 2014,22:41
14,Cape Canaveral,SpaceX CRS-5,,LEO,NASA,Success,F9 v1.1,Failure ,10 January 2015,22:41
15,Cape Canaveral,DSCOVR,,HEO,USAF,"Success
",F9 v1.1,Controlled,11 February 2015,22:06
16,Cape Canaveral,ABS-3A,,GTO,ABS,"Success
",F9 v1.1,No attempt,2 March 2015,22:06
17,Cape Canaveral,SpaceX CRS-6,,LEO,NASA,"Success
",F9 v1.1,Failure,14 April 2015,19:25
18,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,,GTO,,"Success
",F9 v1.1,No attempt,27 April 2015,19:25
19,Cape Canaveral,SpaceX CRS-7,,LEO,NASA,Failure,F9 v1.1,Precluded,28 June 2015,15:15
20,Cape Canaveral,Orbcomm-OG2,,LEO,Orbcomm,"Success
",F9 v1.1,Success,22 December 2015,15:15
21,VAFB,Jason-3,,LEO,NASA,"Success
",,Failure,17 January 2016,08:00
22,Cape Canaveral,SES-9,,GTO,SES,"Success
",,Failure,4 March 2016,08:00
23,Cape Canaveral,SpaceX CRS-8,,LEO,NASA,Success,,Success,8 April 2016,05:00
24,Cape Canaveral,JCSAT-14,,GTO,SKY Perfect JSAT Group,"Success
",,Success,6 May 2016,05:00
25,Cape Canaveral,Thaicom 8,,GTO,Thaicom,"Success
",,Success,27 May 2016,05:52
